volume,issue,date,abstract,author,jel_desc,jel_code,title,L_code,K_code,D4_code,O3_code,G34_code,year,month,day
88,2,2021-03-01,ECONLIT None Found,"['Kurlat, Pablo', 'Scheuer, Florian']",[nan],[nan],Signalling to Experts.,0,0,0,0,0,2021,03,01
88,2,2021-03-01,ECONLIT None Found,"['Kikkawa, Ayumu Ken', 'Dhyne, Emmanuel', 'Mogstad, Magne', 'Tintelnot, Felix']",[nan],[nan],Trade and Domestic Production Networks.,0,0,0,0,0,2021,03,01
88,2,2021-03-01,ECONLIT None Found,"['Vidal, Jordi Blanes i', 'Battiston, Diego', 'Kirchmaier, Tom']",[nan],[nan],Face-to-Face Communication in Organizations.,0,0,0,0,0,2021,03,01
88,2,2021-03-01,ECONLIT None Found,"['Johnen, Johannes', 'Heidhues, Paul', 'Kőszegi, Botond']",[nan],[nan],Browsing versus Studying: A Pro-market Case for Regulation.,0,0,0,0,0,2021,03,01
88,2,2021-03-01,ECONLIT None Found,"['Catonini, Emiliano']",[nan],[nan],Self-enforcing Agreements and Forward Induction Reasoning.,0,0,0,0,0,2021,03,01
88,2,2021-03-01,ECONLIT None Found,"['Sadzik, Tomasz', 'Andreyanov, Pasha']",[nan],[nan],Robust Mechanism Design of Exchange.,0,0,0,0,0,2021,03,01
88,2,2021-03-01,ECONLIT None Found,"['Iverson, Terrence', 'Karp, Larry']",[nan],[nan],Carbon Taxes and Climate Commitment with Non-constant Time Preference.,0,0,0,0,0,2021,03,01
88,2,2021-03-01,ECONLIT None Found,"['Zhou, Junjie', 'Tan, Guofu']",[nan],[nan],The Effects of Competition and Entry in Multi-sided Markets.,0,0,0,0,0,2021,03,01
88,2,2021-03-01,ECONLIT None Found,"['Qu, Zhongjun', 'Zhuo, Fan']",[nan],[nan],Likelihood Ratio-Based Tests for Markov Regime Switching.,0,0,0,0,0,2021,03,01
88,2,2021-03-01,ECONLIT None Found,"['Schnepel, Kevin T.', 'Mueller-Smith, Michael']",[nan],[nan],Diversion in the Criminal Justice System.,0,0,0,0,0,2021,03,01
88,2,2021-03-01,ECONLIT None Found,"['Heldring, Leander']",[nan],[nan],The Origins of Violence in Rwanda.,0,0,0,0,0,2021,03,01
88,2,2021-03-01,ECONLIT None Found,"['Schmitt-Grohé, Stephanie', 'Uribe, Martín']",[nan],[nan],Multiple Equilibria in Open Economies with Collateral Constraints.,0,0,0,0,0,2021,03,01
